分类: 📡卫视频道, 名称: 东方卫视, 有效: 3, IPv4: 23, IPv6: 0, 最小延迟: 448 ms, 最高速率: 14.49 M/s, 平均速率: 8.70 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 东南卫视, 有效: 1, IPv4: 18, IPv6: 0, 最小延迟: 465 ms, 最高速率: 7.01 M/s, 平均速率: 7.01 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 1, IPv4: 15, IPv6: 0, 最小延迟: 402 ms, 最高速率: 8.12 M/s, 平均速率: 8.12 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 广西卫视, 有效: 1, IPv4: 15, IPv6: 0, 最小延迟: 438 ms, 最高速率: 7.40 M/s, 平均速率: 7.40 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 1, IPv4: 17, IPv6: 0, 最小延迟: 393 ms, 最高速率: 8.38 M/s, 平均速率: 8.38 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 海南卫视, 有效: 1, IPv4: 19, IPv6: 0, 最小延迟: 3051 ms, 最高速率: 0.52 M/s, 平均速率: 0.52 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河北卫视, 有效: 0, IPv4: 14, IPv6: 0, 最小延迟: 4186 ms, 最高速率: 0.12 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河南卫视, 有效: 2, IPv4: 21, IPv6: 0, 最小延迟: 136 ms, 最高速率: 9.36 M/s, 平均速率: 7.28 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 1, IPv4: 17, IPv6: 0, 最小延迟: 475 ms, 最高速率: 10.43 M/s, 平均速率: 10.43 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 1, IPv4: 20, IPv6: 0, 最小延迟: 396 ms, 最高速率: 8.33 M/s, 平均速率: 8.33 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江西卫视, 有效: 1, IPv4: 18, IPv6: 0, 最小延迟: 444 ms, 最高速率: 9.28 M/s, 平均速率: 9.28 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 2, IPv4: 20, IPv6: 0, 最小延迟: 486 ms, 最高速率: 6.64 M/s, 平均速率: 3.58 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 0, IPv4: 12, IPv6: 0, 最小延迟: 10103 ms, 最高速率: 0.16 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 0, IPv4: 12, IPv6: 0, 最小延迟: 4079 ms, 最高速率: 0.13 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576
分类: 📡卫视频道, 名称: 青海卫视, 有效: 1, IPv4: 12, IPv6: 0, 最小延迟: 442 ms, 最高速率: 9.31 M/s, 平均速率: 9.31 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 山东卫视, 有效: 1, IPv4: 20, IPv6: 0, 最小延迟: 461 ms, 最高速率: 10.34 M/s, 平均速率: 10.34 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 山西卫视, 有效: 0, IPv4: 8, IPv6: 0, 最小延迟: 1489 ms, 最高速率: 0.18 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 1, IPv4: 8, IPv6: 0, 最小延迟: 431 ms, 最高速率: 10.49 M/s, 平均速率: 10.49 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 四川卫视, 有效: 2, IPv4: 23, IPv6: 0, 最小延迟: 50 ms, 最高速率: 19.13 M/s, 平均速率: 14.15 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 三沙卫视, 有效: 2, IPv4: 6, IPv6: 0, 最小延迟: 464 ms, 最高速率: 11.12 M/s, 平均速率: 5.69 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 2, IPv4: 24, IPv6: 0, 最小延迟: 87 ms, 最高速率: 13.66 M/s, 平均速率: 10.48 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 天津卫视, 有效: 3, IPv4: 25, IPv6: 0, 最小延迟: 410 ms, 最高速率: 9.02 M/s, 平均速率: 5.24 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 西藏卫视, 有效: 0, IPv4: 12, IPv6: 0, 最小延迟: 10127 ms, 最高速率: 0.17 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576
分类: 📡卫视频道, 名称: 新疆卫视, 有效: 1, IPv4: 18, IPv6: 0, 最小延迟: 93 ms, 最高速率: 12.43 M/s, 平均速率: 12.43 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 云南卫视, 有效: 1, IPv4: 15, IPv6: 0, 最小延迟: 396 ms, 最高速率: 8.37 M/s, 平均速率: 8.37 M/s, 最高分辨率: 1920x1080
分类: ☘️广东频道, 名称: 广东珠江, 有效: 0, IPv4: 6, IPv6: 0, 最小延迟: 10250 ms, 最高速率: 0.01 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: ☘️广东频道, 名称: 广东体育, 有效: 0, IPv4: 15, IPv6: 0, 最小延迟: 7150 ms, 最高速率: 0.08 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: ☘️广东频道, 名称: 广东新闻, 有效: 0, IPv4: 10, IPv6: 0, 最小延迟: 1597 ms, 最高速率: 0.11 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576
分类: ☘️广东频道, 名称: 广东民生, 有效: 0, IPv4: 6, IPv6: 0, 最小延迟: 536 ms, 最高速率: 0.01 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: ☘️广东频道, 名称: 广州综合, 有效: 1, IPv4: 2, IPv6: 0, 最小延迟: 1540 ms, 最高速率: 0.38 M/s, 平均速率: 0.38 M/s, 最高分辨率: 1280x720
分类: ☘️广东频道, 名称: 大湾区卫视, 有效: 1, IPv4: 11, IPv6: 0, 最小延迟: 10071 ms, 最高速率: 0.84 M/s, 平均速率: 0.84 M/s, 最高分辨率: 1920x1080
分类: ☘️广东频道, 名称: 汕头综合, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: ☘️广东频道, 名称: 广州影视, 有效: 0, IPv4: 11, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: ☘️广东频道, 名称: 广州竞赛, 有效: 0, IPv4: 12, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: ☘️广东频道, 名称: 江门综合, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
